Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
610	-469.7495	363.31937	-181.72011	-1858.6367	19.232557	-164.81381	17.061398	-102.26712	-177.89233	61100	-0.14777449	7612.8086	0.0	-699.1724	0.7816369	-1.907349e-09	464.7935724258423
620	-485.563	392.965	-163.05688	-2528.243	19.74359	-147.70026	31.526098	-25.485023	-173.79634	62100	-0.17182109	7466.3994	0.0	-1996.2115	0.77933836	4.351139e-09	470.9138693809509
630	-502.60165	322.01526	-182.40387	-1634.6193	20.55	-141.60947	34.330936	-6.293049	-174.42747	63100	-0.15341198	6368.249	0.0	-1603.7578	0.7769872	-1.311302e-09	478.2119731903076
640	-478.7737	405.84888	-210.88644	-2347.9473	19.411764	-145.4806	31.289865	-42.628155	-176.51787	64100	-0.17754504	8421.697	0.0	-2682.7378	0.77469385	3.8743018e-09	485.4167320728302
650	-463.84952	309.50742	-175.09209	-1486.6499	18.707317	-159.01765	18.34416	-108.4834	-177.26938	65100	-0.20521963	7749.948	0.0	-896.9971	0.77227294	-1.192093e-09	492.76850152015686
660	-404.20926	296.178	-195.68858	-2034.6283	15.976745	-151.45818	26.380638	-57.09568	-178.29805	66100	-0.19350341	8302.151	0.0	-2231.5872	0.769618	-3.5166738e-09	500.1492874622345
670	-419.46814	343.32297	-147.42139	-2477.147	16.711111	-140.7667	33.02472	-15.216381	-178.45071	67100	-0.18794508	7665.0586	0.0	-2540.3677	0.7669202	5.9604675e-11	507.6543650627136
680	-455.67484	373.464	-172.89398	-2118.803	18.181818	-136.28868	37.328953	-20.98056	-177.67702	68100	-0.1750939	7640.6494	0.0	-2707.0933	0.76426697	8.404255e-09	515.1969151496887
690	-506.1207	472.71585	-166.40884	-2640.8289	21.868422	-148.82384	26.03135	-78.235535	-179.97173	69100	-0.18771091	6871.7666	0.0	-1707.7473	0.76163274	2.6226044e-09	522.9198496341705
700	-388.81033	234.55466	-165.07597	-1585.7765	16.282051	-150.92987	30.998	-27.805672	-178.75476	70100	-0.18516316	6753.275	0.0	-1843.804	0.7589582	2.2649764e-09	529.8523433208466
710	-381.642	160.9955	-192.73927	-999.8897	14.921569	-133.18742	37.843056	-21.781887	-178.08682	71100	-0.22166422	6187.393	0.0	-1548.1288	0.75623703	-1.9669533e-09	537.2345607280731
720	-351.47818	155.48347	-163.14978	-1129.7856	13.964286	-125.721344	44.55671	-2.9374828	-175.4752	72100	-0.21333519	5370.2188	0.0	-1342.1755	0.7533835	1.3113023e-09	544.871244430542
730	-362.58365	188.12582	-156.02979	-1377.9197	14.526316	-128.8413	37.64445	-27.474861	-175.48253	73100	-0.14202961	6017.3564	0.0	-1596.0355	0.7507375	-4.708767e-09	552.2331118583679
740	-398.63226	284.6681	-157.40005	-1726.7152	16.947369	-135.18768	33.43102	-48.543983	-174.70206	74100	-0.17638372	7743.803	0.0	-2646.2964	0.7483937	-4.708767e-09	559.7925629615784
750	-384.5075	261.47446	-171.51558	-1857.989	15.897959	-137.87646	32.6052	-68.2537	-176.96776	75100	-0.17908043	7096.099	0.0	-1787.0315	0.74600726	-1.0728838e-09	567.0353791713715
760	-359.84952	141.67648	-186.65363	-845.7684	14.957447	-131.9512	39.55767	-39.791508	-175.72844	76100	-0.123225376	5269.3145	0.0	-1324.429	0.7436183	-6.1988836e-09	574.5852439403534
770	-340.41098	144.02467	-176.36655	-1085.1104	14.321428	-128.22278	40.152336	-19.356136	-174.34747	77100	-0.16504143	5079.0664	0.0	-1264.5593	0.74159896	-8.3446505e-10	582.1884195804596
780	-439.50793	294.55984	-165.54234	-1432.5615	18.305555	-135.50116	43.140762	-13.249229	-177.15187	78100	-0.25580817	7859.1914	0.0	-1918.4235	0.7392539	-2.026558e-09	589.7480425834656
790	-367.82684	243.75577	-188.90894	-1787.4766	14.408163	-149.03072	33.05059	-58.070545	-178.16534	79100	-0.23538168	6252.7554	0.0	-1839.6051	0.73627913	-1.5497207e-09	597.2412912845612
800	-425.24973	397.14832	-168.06131	-2593.8755	17.439024	-144.34119	35.72585	-50.77228	-178.31796	80100	-0.18095747	6432.084	0.0	-2107.4717	0.7332818	-6.7353247e-09	604.6796896457672
810	-366.26675	335.17096	-133.78593	-2376.0288	14.734694	-142.26164	38.500225	-48.66066	-179.75462	81100	-0.23094678	6925.124	0.0	-2010.8623	0.73042136	4.7683715e-09	612.3207929134369
820	-355.29495	139.90883	-158.00484	-800.3885	14.142858	-138.31984	37.9036	-55.74438	-178.08905	82100	-0.19909349	5931.87	0.0	-1770.0873	0.7275699	4.7683707e-10	619.2144587039948
830	-319.94852	150.33638	-164.36786	-995.3853	13.412699	-119.863434	44.620182	-21.98936	-176.12784	83100	-0.21765992	5529.66	0.0	-1700.1322	0.7248465	-1.6689301e-09	626.4335353374481
840	-314.25922	129.7634	-171.75769	-747.3071	12.551724	-126.70003	42.265594	-46.652676	-175.15782	84100	-0.19263986	4946.971	0.0	-1285.4785	0.72210073	-2.9802323e-09	633.7413146495819
